title,release_date,duration,score,genres,actors
The Matrix,1999-03-31,136,8.7,Sci-Fi;Action;Thriller,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss
Interstellar,2014-11-07,169,8.6,Sci-Fi;Drama,Matthew McConaughey;Anne Hathaway;Jessica Chastain
Pulp Fiction,1994-10-14,154,8.9,Crime;Drama,John Travolta;Samuel L. Jackson;Uma Thurman
The Dark Knight,2008-07-18,152,9.0,Action;Crime;Drama,Christian Bale;Heath Ledger;Aaron Eckhart
Forrest Gump,1994-07-06,142,8.8,Drama;Romance,Tom Hanks;Sally Field;Gary Sinise
